# index cotheta theta phi
4.3500e+02 3.3380e-01 9.5874e-01 2.8198e+00
4.3600e+02 9.0966e-01 6.7099e-01 3.5895e+00
4.3700e+02 1.0751e+00 8.2809e-01 1.6436e+00
4.3800e+02 1.4701e+00 3.5269e-01 2.7765e+00
4.3900e+02 6.9221e-01 8.9278e-01 2.8595e+00
4.4000e+02 1.1030e-01 1.0144e+00 2.7883e+00
4.4100e+02 -2.2403e-02 5.6737e-01 5.0047e+00
4.4200e+02 -9.2263e-01 1.1331e+00 3.8924e+00
4.4300e+02 1.6618e+00 8.5758e-01 2.7908e+00
4.4400e+02 3.1412e-02 1.1980e+00 4.8900e+00
4.4500e+02 9.7417e-02 6.7766e-01 3.0088e-01
4.4600e+02 1.3898e+00 1.2642e+00 1.7646e+00
4.4700e+02 7.3229e-02 4.1287e-01 2.7000e+00
4.4800e+02 -3.7730e+00 1.2078e+00 5.0722e+00
4.4900e+02 2.8925e+00 8.9485e-01 2.0839e+00
4.5000e+02 1.1626e-01 1.3202e+00 3.2163e+00
4.5100e+02 2.6301e-01 8.4657e-01 5.3983e+00
4.5200e+02 5.5754e-01 1.0067e+00 6.1323e+00
4.5300e+02 -1.9558e-01 1.4085e+00 2.7732e+00
4.5400e+02 1.0961e+00 9.4155e-01 2.8078e+00
4.5500e+02 5.5122e-01 9.1588e-01 4.7733e+00
4.5600e+02 7.2666e-01 8.7813e-01 5.9471e+00
4.5700e+02 -8.5430e-02 1.1794e+00 4.0667e+00
4.5800e+02 1.7938e+00 8.3487e-02 2.8130e+00
4.5900e+02 8.7809e-01 1.1441e+00 9.3875e-01
4.6000e+02 1.1053e+00 4.5284e-01 3.8695e-01
4.6100e+02 7.8042e-01 6.2874e-01 2.9624e+00
4.6200e+02 7.6871e-01 8.5646e-01 3.3015e+00
4.6300e+02 3.1140e+00 1.0128e+00 1.3533e+00
4.6400e+02 -9.3954e-01 1.1708e+00 3.2201e+00
4.6500e+02 1.3556e+00 1.0266e+00 2.3331e+00
4.6600e+02 -9.8594e-03 1.2318e+00 4.7410e+00
4.6700e+02 1.1793e+00 1.0426e+00 9.6007e-01
4.6800e+02 -7.1374e-02 6.4170e-01 3.6225e+00
4.6900e+02 6.8399e-01 6.7750e-01 4.4126e+00
4.7000e+02 6.5353e-01 3.7694e-02 7.9806e-01
4.7100e+02 9.1667e-01 3.0891e-01 2.7234e+00
4.7200e+02 8.0907e-01 1.1839e+00 6.6272e-01
4.7300e+02 -5.6847e-02 1.2207e+00 3.0544e+00
4.7400e+02 3.5512e+00 1.0373e+00 1.8730e+00
4.7500e+02 6.8044e-01 1.1859e+00 1.6248e+00
4.7600e+02 2.0519e+00 6.2597e-01 4.1247e-01
4.7700e+02 9.2933e-01 1.0270e+00 2.9311e+00
4.7800e+02 1.3766e+00 7.8922e-01 3.3796e+00
4.7900e+02 1.3307e+00 6.6961e-01 2.6917e+00
4.8000e+02 -2.1460e-02 6.2105e-01 2.2510e+00
4.8100e+02 2.4249e+00 7.9021e-01 2.6189e+00
4.8200e+02 2.1870e-01 5.9910e-01 9.5208e-01
4.8300e+02 2.9783e+00 5.7862e-01 1.9431e+00
4.8400e+02 4.1824e-01 8.2279e-01 1.1400e+00
4.8500e+02 2.3512e+00 9.9815e-01 1.7955e+00
4.8600e+02 2.2177e+00 9.8497e-01 2.0259e+00
4.8700e+02 6.1410e-01 5.9399e-01 1.9583e-01
4.8800e+02 1.3953e-02 9.2223e-01 2.2440e+00
4.8900e+02 5.3839e-01 9.4808e-01 3.3897e+00
4.9000e+02 1.3563e+00 7.1314e-01 6.9847e-01
4.9100e+02 1.0269e+00 1.1968e+00 2.3413e+00
4.9200e+02 -2.4188e-02 1.0317e+00 4.1991e+00
4.9300e+02 1.0929e+00 9.8613e-01 2.6065e+00
4.9400e+02 3.1366e-01 9.1975e-01 3.0012e+00
4.9500e+02 5.1352e-01 9.3537e-01 1.5124e+00
4.9600e+02 9.7145e-01 6.4594e-01 1.2489e+00
4.9700e+02 9.0329e-01 5.8419e-01 3.1818e+00
4.9800e+02 1.4948e-01 1.2772e+00 2.4354e+00
4.9900e+02 -4.3641e-01 6.4078e-01 2.0506e+00
5.0000e+02 1.2822e-01 1.2585e+00 1.7511e+00
5.0100e+02 5.2471e-02 1.1811e+00 3.6787e+00
5.0200e+02 -2.0959e-01 4.3899e-01 2.8765e-01
5.0300e+02 -2.2818e-01 6.2338e-01 4.6020e+00
5.0400e+02 1.6112e+00 5.5964e-01 2.0550e+00
5.0500e+02 4.6834e-01 1.0703e+00 3.7422e+00
5.0600e+02 1.8527e+00 6.4305e-01 2.4038e+00
5.0700e+02 5.1645e-01 1.0217e+00 3.2880e+00
5.0800e+02 1.3412e+00 2.8475e-01 4.6262e+00
5.0900e+02 3.5089e-01 1.0356e+00 1.7122e+00
5.1000e+02 1.0004e+00 6.2975e-01 1.7546e+00
5.1100e+02 1.7804e-01 1.2624e+00 2.6969e+00
5.1200e+02 3.1170e+00 9.7143e-01 1.6616e+00
5.1300e+02 3.1325e+00 3.3993e-01 1.8071e+00
5.1400e+02 3.3350e-01 7.1380e-01 4.0123e+00
5.1500e+02 -2.2163e-02 1.1682e+00 4.5203e+00
5.1600e+02 -7.6613e-01 5.7862e-01 4.3401e+00
5.1700e+02 3.6919e-01 4.3908e-01 5.0000e+00
5.1800e+02 1.0203e-01 2.5525e-01 5.5027e+00
5.1900e+02 -5.4105e-01 1.3197e+00 4.6784e+00
5.2000e+02 1.1636e+00 4.5412e-01 7.8409e-01
5.2100e+02 1.2114e+00 3.3224e-01 4.7960e+00
5.2200e+02 7.5857e-01 8.2927e-02 2.8335e+00
5.2300e+02 2.2438e-01 1.1442e+00 1.5585e+00
5.2400e+02 2.3431e-01 1.0204e+00 3.5266e+00
5.2500e+02 2.0852e-01 8.4670e-01 3.8278e+00
5.2600e+02 4.4901e-01 9.7574e-01 2.9800e+00
5.2700e+02 1.1349e+00 6.5750e-01 2.6010e+00
5.2800e+02 1.4466e+00 7.1245e-01 2.6633e+00
5.2900e+02 1.1722e+00 9.5971e-01 2.2776e+00
5.3000e+02 8.2955e-01 1.2610e+00 3.9142e-01
5.3100e+02 3.0327e-01 7.3252e-01 5.4553e+00
5.3200e+02 8.3901e-01 1.1320e+00 1.2027e+00
5.3300e+02 1.4060e+00 6.8449e-01 2.6330e+00
5.3400e+02 5.8040e-01 5.6079e-01 2.0537e+00
5.3500e+02 2.0869e+00 1.2148e+00 2.6826e+00
5.3600e+02 5.4584e-01 8.0533e-01 3.4765e+00
5.3700e+02 1.1422e+00 8.3801e-01 2.9261e+00
5.3800e+02 3.6945e+00 1.0682e+00 1.7902e+00
5.3900e+02 1.5710e+00 2.6888e-01 2.0754e+00
5.4000e+02 1.4141e+00 9.5863e-01 2.3826e+00
5.4100e+02 6.0221e-01 2.6555e-01 4.2043e+00
5.4200e+02 2.5050e+00 6.4631e-01 4.3920e+00
5.4300e+02 1.6655e+00 1.2118e+00 2.0557e+00
5.4400e+02 9.4051e-01 7.4412e-01 2.1501e+00
5.4500e+02 8.1908e-01 7.9337e-01 2.4314e+00
5.4600e+02 4.9828e-01 9.7063e-01 5.4477e+00
5.4700e+02 2.0763e-01 1.2300e+00 3.8474e+00
5.4800e+02 7.0502e-01 7.1127e-01 2.3562e+00
5.4900e+02 1.0964e+00 6.6832e-01 4.0214e+00
5.5000e+02 1.0684e+00 1.1137e+00 5.8945e+00
5.5100e+02 1.4112e-01 1.2435e+00 3.0786e+00
5.5200e+02 8.8563e-01 1.2604e+00 2.4291e+00
5.5300e+02 7.0269e-02 8.5916e-01 2.3573e+00
5.5400e+02 1.8209e+00 9.6187e-01 1.7756e+00
5.5500e+02 1.5487e+00 5.7002e-01 9.0483e-01
5.5600e+02 7.7266e-01 8.6540e-01 5.2076e+00
5.5700e+02 1.0616e+00 8.1388e-01 1.1856e+00
5.5800e+02 2.2973e+00 6.4452e-01 2.4076e+00
5.5900e+02 7.9092e-01 3.2533e-01 3.9308e+00
5.6000e+02 3.2859e-01 1.4137e+00 1.6434e-01
5.6100e+02 9.6541e-01 6.2338e-01 3.0312e+00
5.6200e+02 9.7540e-01 1.8376e-01 2.9860e+00
5.6300e+02 3.2626e-02 8.1463e-01 2.2604e-01
5.6400e+02 9.1214e-01 6.9467e-01 2.9821e+00
5.6500e+02 1.7583e-01 8.2454e-01 2.6014e+00
5.6600e+02 1.2978e-01 8.6115e-01 3.8622e+00
5.6700e+02 9.4247e-01 1.1266e+00 2.3026e+00
5.6800e+02 2.5890e+00 5.5034e-01 1.7002e+00
5.6900e+02 1.5540e+00 1.3330e+00 1.2778e+00
5.7000e+02 1.1347e+00 2.8486e-01 3.2324e+00
5.7100e+02 2.2014e+00 1.1708e+00 1.6493e+00
5.7200e+02 8.9014e-01 5.0946e-01 4.7591e+00
5.7300e+02 1.3926e+00 4.5242e-01 1.9582e+00
5.7400e+02 1.4123e+00 8.5838e-01 1.9216e+00
5.7500e+02 5.9246e-01 1.3278e+00 2.2443e+00
5.7600e+02 1.2247e+00 7.0030e-01 2.9176e+00
5.7700e+02 4.2294e-01 1.3321e+00 2.8606e+00
5.7800e+02 1.0242e+00 7.6570e-01 5.4748e-01
5.7900e+02 3.8426e-01 1.0500e+00 2.8483e+00
5.8000e+02 3.4368e+00 1.0947e+00 1.6377e+00
5.8100e+02 2.5410e+00 1.0634e+00 1.4080e+00
5.8200e+02 1.2278e+00 9.5219e-01 9.4600e-01
5.8300e+02 4.7070e-01 1.2320e+00 1.5242e+00
5.8400e+02 3.3029e-01 7.8943e-01 2.0944e+00
5.8500e+02 7.1604e-01 7.4224e-01 3.7187e+00
5.8600e+02 1.6212e+00 1.0809e+00 8.0508e-01
5.8700e+02 1.1889e+00 2.9341e-01 1.3055e+00
5.8800e+02 -1.4104e-01 5.9440e-01 2.6970e+00
5.8900e+02 5.0591e-01 5.6193e-01 3.6231e+00
5.9000e+02 1.3952e-01 1.3536e+00 3.1591e+00
5.9100e+02 -3.5033e-02 1.5311e-01 5.7425e+00
5.9200e+02 2.3477e+00 4.5781e-01 2.5105e+00
5.9300e+02 6.4952e-01 4.6744e-01 4.7659e+00
5.9400e+02 -7.2615e-02 1.3498e-01 1.7667e+00
5.9500e+02 2.4542e-01 1.0230e+00 3.7435e+00
5.9600e+02 3.3728e-01 8.9714e-01 3.2481e+00
5.9700e+02 8.1965e-03 1.1408e+00 1.2114e+00
5.9800e+02 -1.1575e-04 8.9273e-01 2.8625e+00
5.9900e+02 1.0375e-01 9.8515e-01 3.4080e+00
6.0000e+02 3.4474e-01 1.1812e+00 2.8884e+00
6.0100e+02 1.8490e-01 5.9423e-01 3.8704e+00
6.0200e+02 6.0358e-01 4.2907e-01 1.7400e-01
6.0300e+02 4.6508e-01 9.3709e-01 2.4941e+00
6.0400e+02 3.0417e+00 7.5239e-01 6.1443e+00
6.0500e+02 1.2873e+00 1.2398e+00 1.4522e+00
6.0600e+02 2.7460e+00 5.9417e-01 1.3730e+00
6.0700e+02 1.4084e-01 1.9736e-01 1.9781e+00
6.0800e+02 1.6894e+00 8.8150e-01 2.5100e+00
6.0900e+02 1.9875e+00 1.3015e+00 3.7401e+00
6.1000e+02 1.7117e+00 6.8943e-01 8.3019e-01
6.1100e+02 1.1869e+00 6.5839e-01 5.8966e+00
6.1200e+02 1.2375e+00 1.1584e+00 3.9598e+00
6.1300e+02 -1.4654e-01 1.1064e+00 4.3741e+00
6.1400e+02 1.3645e-01 1.1220e+00 4.9312e-01
6.1500e+02 1.0819e+00 9.7274e-01 8.8878e-01
6.1600e+02 9.1015e-01 8.9197e-01 3.9886e+00
6.1700e+02 1.8698e+00 6.6949e-01 2.6922e+00
6.1800e+02 1.5242e+00 1.0254e+00 2.6568e+00
6.1900e+02 1.8732e+00 2.9390e-01 1.2998e+00
6.2000e+02 1.4799e+00 6.7012e-01 2.9054e+00
6.2100e+02 2.1943e+00 1.0533e+00 1.7682e+00
6.2200e+02 3.5950e-01 6.6867e-01 2.2626e+00
6.2300e+02 -3.2025e-01 8.3323e-01 5.1863e+00
6.2400e+02 1.2639e+00 1.2453e+00 2.1912e+00
6.2500e+02 6.7125e-01 1.2442e+00 1.7784e+00
6.2600e+02 4.8573e-01 6.8805e-01 2.7791e+00
6.2700e+02 5.1690e-01 9.9969e-01 5.1604e-01
6.2800e+02 4.3079e-01 1.2256e+00 8.5318e-01
6.2900e+02 7.5013e-01 6.7887e-01 2.8403e+00
6.3000e+02 2.2423e+00 1.0092e+00 1.3863e+00
6.3100e+02 -3.7542e-02 4.8394e-01 3.8591e+00
6.3200e+02 6.5543e-01 7.8943e-01 2.7379e+00
6.3300e+02 5.3550e-01 9.1618e-01 3.2440e+00
6.3400e+02 1.5424e+00 8.4486e-01 1.9817e+00
6.3500e+02 1.3127e+00 7.1873e-01 3.1725e+00
6.3600e+02 1.2685e-01 1.2067e+00 4.0999e+00
6.3700e+02 8.7551e-01 7.7567e-01 3.8117e+00
6.3800e+02 5.1611e-01 1.0126e+00 2.7152e+00
6.3900e+02 2.9209e+00 4.7091e-01 2.0564e+00
6.4000e+02 3.0115e-01 8.9500e-01 4.7759e+00
6.4100e+02 9.6832e-01 1.1038e+00 3.5386e+00
6.4200e+02 1.5940e+00 8.5812e-01 1.9201e+00
6.4300e+02 1.7005e+00 1.3388e-01 1.7590e+00
6.4400e+02 1.8066e+00 1.0193e+00 2.4937e+00
6.4500e+02 2.5086e+00 1.1004e+00 1.3960e+00
6.4600e+02 1.9781e+00 8.1273e-01 2.4637e+00
6.4700e+02 3.3875e-01 1.2117e+00 3.4762e+00
6.4800e+02 1.3243e+00 1.2005e+00 1.9835e+00
6.4900e+02 1.0586e+00 8.2927e-02 1.8788e+00
6.5000e+02 -7.5590e-01 1.1271e+00 4.6233e+00
6.5100e+02 1.4642e+00 6.7526e-01 3.7383e+00
6.5200e+02 1.3056e+00 1.0999e+00 1.7477e+00
6.5300e+02 1.6556e+00 1.1976e+00 2.2829e+00
6.5400e+02 4.0906e-01 7.9237e-01 2.4297e+00
6.5500e+02 1.7052e+00 1.1941e+00 2.0861e+00
6.5600e+02 2.8363e+00 1.2243e+00 1.8318e+00
6.5700e+02 2.3398e+00 9.2601e-01 2.1855e+00
6.5800e+02 1.8755e+00 7.1054e-01 2.3562e+00
6.5900e+02 6.5939e-01 8.6606e-01 5.8905e+00
6.6000e+02 8.0217e-01 8.7373e-01 3.2082e+00
6.6100e+02 2.2872e+00 7.1895e-01 1.5420e+00
6.6200e+02 4.4628e-01 8.9644e-01 1.6775e+00
6.6300e+02 1.3611e+00 1.2169e+00 1.3236e+00
6.6400e+02 1.2197e+00 7.9669e-01 1.8599e+00
6.6500e+02 1.0164e+00 1.2854e+00 1.0414e+00
6.6600e+02 2.4502e-01 9.2291e-01 4.5316e+00
6.6700e+02 8.2735e-01 8.0630e-01 6.1551e+00
6.6800e+02 1.4595e+00 1.0841e+00 4.8107e+00
6.6900e+02 1.4131e+00 1.3059e+00 1.5347e+00
6.7000e+02 3.0700e-02 1.2735e+00 5.1208e+00
6.7100e+02 5.2825e-01 1.3408e+00 6.2402e+00
6.7200e+02 7.7653e-01 1.1311e+00 2.1969e+00
6.7300e+02 5.4478e-01 9.5608e-01 6.1506e+00
6.7400e+02 2.7041e+00 1.0778e+00 2.0277e+00
6.7500e+02 8.6075e-01 5.7979e-01 5.7272e+00
6.7600e+02 1.0287e+00 1.1777e+00 3.8175e+00
6.7700e+02 1.0201e+00 7.6344e-01 2.8907e+00
6.7800e+02 -6.2758e-01 1.0026e+00 6.2326e+00
6.7900e+02 2.2638e-01 1.1228e+00 2.7637e+00
6.8000e+02 1.1602e+00 1.1490e+00 1.2189e+00
6.8100e+02 5.3839e-01 5.6051e-01 3.6264e+00
6.8200e+02 -1.3752e-01 1.0929e+00 5.1827e+00
6.8300e+02 1.7796e+00 8.7881e-01 1.4150e+00
6.8400e+02 -9.5744e-02 1.0204e+00 4.9925e+00
6.8500e+02 1.4827e-01 4.1287e-01 4.2708e+00
6.8600e+02 2.0218e+00 1.0634e+00 1.4080e+00
6.8700e+02 2.2534e-01 1.1421e+00 3.8071e+00
6.8800e+02 8.6927e-01 1.3556e+00 2.7423e+00
6.8900e+02 7.9856e-01 1.3912e+00 2.1923e+00
6.9000e+02 -2.3660e-01 7.6367e-01 4.9632e+00
6.9100e+02 4.1856e-01 1.0354e+00 3.2841e+00
6.9200e+02 2.2290e+00 8.1263e-01 1.0732e+00
6.9300e+02 -6.2019e-01 8.1309e-01 5.0983e+00
6.9400e+02 1.9391e+00 8.9872e-01 2.5359e+00
6.9500e+02 3.0868e+00 1.1025e+00 1.8836e+00
6.9600e+02 3.2332e-01 1.0884e+00 2.0787e+00
6.9700e+02 1.0222e+00 1.1556e+00 1.3239e+00
6.9800e+02 3.1553e+00 9.8658e-01 1.6232e+00
6.9900e+02 1.0055e-01 1.3012e+00 4.5586e+00
7.0000e+02 2.3321e+00 4.5707e-01 2.2055e+00
7.0100e+02 2.6905e-01 8.6468e-01 5.2049e+00
7.0200e+02 1.4794e+00 7.7724e-01 4.7510e-01
7.0300e+02 5.1589e-02 1.1067e+00 4.4574e+00
7.0400e+02 1.6761e+00 1.1767e+00 2.0391e+00
7.0500e+02 -3.0464e-02 4.5303e-01 3.9281e+00
7.0600e+02 5.8973e-01 1.1341e+00 1.2565e+00
7.0700e+02 5.4975e-01 9.9803e-01 2.9180e+00
7.0800e+02 1.5801e+00 1.2708e+00 1.7943e+00
7.0900e+02 9.3146e-01 4.5297e-01 1.1800e+00
7.1000e+02 4.4264e-01 1.1935e+00 1.6451e+00
7.1100e+02 -6.0320e-02 9.2956e-01 3.6146e+00
7.1200e+02 2.5527e-01 8.7897e-01 3.4774e+00
7.1300e+02 7.9530e-02 7.8107e-01 3.0105e+00
7.1400e+02 1.9008e-02 1.2146e+00 5.3576e+00
7.1500e+02 6.2497e-01 3.4075e-01 4.9377e+00
7.1600e+02 1.0968e+00 8.9535e-01 6.2197e+00
7.1700e+02 9.6351e-01 1.1898e+00 4.0624e+00
7.1800e+02 7.3183e-02 1.1097e+00 2.8616e+00
7.1900e+02 7.8587e-01 3.0891e-01 4.2942e+00
7.2000e+02 -2.8396e-01 1.0543e+00 7.8558e-01
7.2100e+02 1.8922e+00 1.1855e+00 1.6037e+00
7.2200e+02 -9.8660e-01 1.3404e+00 2.8706e+00
7.2300e+02 1.2272e+00 4.2941e-01 2.9667e+00
7.2400e+02 5.3414e-01 1.2000e+00 4.2068e+00
7.2500e+02 1.7998e+00 3.7798e-01 1.6434e+00
7.2600e+02 -7.4100e-02 3.3340e-01 5.2773e+00
7.2700e+02 7.5300e-02 1.2425e+00 5.2529e+00
7.2800e+02 -1.4204e-01 1.1130e+00 4.3250e+00
7.2900e+02 3.9227e-01 9.7811e-01 4.2889e+00
7.3000e+02 3.0685e-01 1.0889e+00 7.8536e-01
7.3100e+02 1.8930e+00 1.0619e+00 1.4378e+00
7.3200e+02 1.0115e+00 5.2615e-01 1.0447e+00
7.3300e+02 8.6643e-01 3.1025e-01 4.2849e-01
7.3400e+02 2.9493e+00 4.8021e-01 1.8258e+00
7.3500e+02 1.2281e+00 1.4093e+00 1.9746e+00
7.3600e+02 -6.1335e-02 3.8687e-01 1.3751e+00
7.3700e+02 1.2548e+00 5.7920e-01 2.7698e+00
7.3800e+02 2.8306e+00 9.8557e-01 2.1039e+00
7.3900e+02 4.5181e-01 2.3793e-01 3.2457e+00
7.4000e+02 7.7987e-01 1.0800e+00 1.7860e+00
7.4100e+02 3.7740e-01 9.7591e-01 5.6503e+00
7.4200e+02 1.1322e+00 1.0070e+00 2.5959e+00
7.4300e+02 -7.9752e-02 1.0871e+00 3.2954e+00
7.4400e+02 1.8556e+00 8.3322e-01 1.0987e+00
7.4500e+02 4.0022e-01 7.2077e-01 3.0513e+00
7.4600e+02 7.8901e-01 6.8943e-01 5.5426e+00
7.4700e+02 -3.5529e-01 4.5707e-01 4.0777e+00
7.4800e+02 -7.4342e-02 3.5474e-01 1.2029e+00
7.4900e+02 1.0230e+00 1.2266e+00 1.5036e+00
7.5000e+02 1.1016e+00 9.8601e-01 3.1583e+00
7.5100e+02 7.7959e-01 9.7390e-01 8.8765e-01
7.5200e+02 -2.1606e-02 1.0582e+00 4.3629e+00
7.5300e+02 1.5596e+00 1.0559e+00 2.7242e+00
7.5400e+02 9.7268e-01 2.8475e-01 1.4846e+00
7.5500e+02 1.7133e+00 1.1249e+00 1.5570e+00
7.5600e+02 1.6381e+00 1.2452e+00 1.7963e+00
7.5700e+02 -3.8603e-02 8.3504e-01 3.6154e+00
7.5800e+02 3.7721e-01 2.9346e-01 6.0180e+00
7.5900e+02 1.0709e+00 1.3416e+00 1.9709e+00
7.6000e+02 1.5642e+00 5.3030e-01 2.8198e+00
7.6100e+02 2.1500e+00 1.1435e+00 1.8773e+00
7.6200e+02 1.2168e+00 1.1478e+00 2.2553e+00
7.6300e+02 4.5577e+00 1.2049e+00 1.3975e+00
7.6400e+02 2.0173e+00 1.0271e+00 2.1280e+00
7.6500e+02 -3.2305e+00 8.4446e-01 6.0211e+00
7.6600e+02 1.5233e+00 1.1229e+00 4.3351e+00
7.6700e+02 1.8301e+00 1.0273e+00 5.2693e+00
7.6800e+02 2.3271e+00 6.6850e-01 3.3786e+00
7.6900e+02 1.5148e+00 1.2554e+00 2.1468e+00
7.7000e+02 3.3982e-01 9.2629e-01 3.7571e+00
7.7100e+02 3.2519e+00 5.0949e-01 1.6191e+00
7.7200e+02 6.4168e-01 1.0990e+00 3.4294e+00
7.7300e+02 8.4219e-02 1.1101e+00 1.2072e+00
7.7400e+02 8.3446e-02 1.1653e+00 1.4224e+00
7.7500e+02 5.8305e-01 4.5297e-01 4.3216e+00
7.7600e+02 2.0525e-01 7.2947e-01 3.9696e-01
7.7700e+02 9.5045e-01 1.3154e+00 1.1042e+00
7.7800e+02 1.0665e+00 1.1155e-01 3.9270e+00
7.7900e+02 1.1413e+00 7.7112e-01 2.8368e+00
7.8000e+02 -5.6967e-01 1.3572e+00 3.8944e+00
7.8100e+02 7.6594e-01 4.9071e-01 4.1431e+00
7.8200e+02 2.8250e+00 3.7240e-01 2.0654e+00
7.8300e+02 9.1613e-01 8.2279e-01 4.3077e-01
7.8400e+02 -1.9451e-01 1.1466e+00 4.6041e+00
7.8500e+02 2.4991e+00 1.0094e+00 1.3864e+00
7.8600e+02 3.9540e-01 4.2355e-01 1.5109e+00
7.8700e+02 7.2321e-01 1.2840e+00 1.0200e+00
7.8800e+02 2.4786e+00 3.4075e-01 1.7961e+00
7.8900e+02 4.5771e-01 4.7179e-01 4.5565e+00
7.9000e+02 7.8792e-01 8.1467e-01 3.5262e+00
7.9100e+02 3.3309e-01 1.3103e+00 2.9495e+00
7.9200e+02 1.7772e+00 8.7606e-01 1.6820e+00
7.9300e+02 1.2236e+00 7.0161e-01 2.9204e+00
7.9400e+02 4.8073e-01 4.2861e-01 4.5382e+00
7.9500e+02 2.5148e-01 1.0253e+00 2.7278e+00
7.9600e+02 3.3373e-01 6.4170e-01 5.8023e+00
7.9700e+02 -3.4615e-01 1.3793e+00 5.6506e+00
7.9800e+02 6.5081e-01 1.0331e+00 1.8425e+00
7.9900e+02 9.1575e-01 1.2276e+00 1.6752e+00
8.0000e+02 -3.6915e-01 1.0836e+00 3.0710e+00
8.0100e+02 7.4971e-01 1.2849e+00 2.1560e+00
8.0200e+02 1.5405e-01 8.2822e-01 3.8592e+00
8.0300e+02 7.5321e-01 1.0237e+00 2.8296e+00
8.0400e+02 3.8846e-01 1.1213e+00 2.7063e+00
8.0500e+02 9.0147e-01 1.1563e+00 2.5891e+00
8.0600e+02 1.0818e+00 3.6918e-02 5.5323e+00
8.0700e+02 1.2477e+00 1.5300e-01 2.6022e+00
8.0800e+02 4.7407e-01 6.3654e-01 4.4588e+00
8.0900e+02 2.7797e+00 1.1853e+00 1.5810e+00
8.1000e+02 -2.7101e-02 7.7112e-01 3.0476e-01
8.1100e+02 -2.2819e-01 1.2161e+00 4.3413e+00
8.1200e+02 3.1495e+00 7.3709e-01 2.2328e+00
8.1300e+02 -8.0297e-01 1.1724e+00 1.6938e+00
8.1400e+02 1.1563e+00 9.2356e-01 4.3668e+00
8.1500e+02 1.1288e+00 1.0375e+00 8.7381e-01
8.1600e+02 1.3833e+00 1.1745e+00 2.1988e+00
8.1700e+02 5.7696e-01 6.9002e-01 3.9729e+00
8.1800e+02 -1.5324e-01 8.6135e-01 2.9330e+00
8.1900e+02 -9.1030e-03 9.3821e-01 1.7071e+00
8.2000e+02 -3.9378e-02 1.0922e+00 1.8939e+00
8.2100e+02 -1.8404e-03 1.0041e+00 3.2259e+00
8.2200e+02 1.6916e+00 7.5259e-01 1.4290e+00
8.2300e+02 1.5055e+00 9.3203e-01 2.5821e+00
8.2400e+02 4.1972e-01 8.9402e-01 2.6301e+00
8.2500e+02 6.6734e-01 1.0556e+00 2.9146e+00
8.2600e+02 1.1437e+00 1.2430e+00 1.3799e+00
8.2700e+02 4.1735e-01 1.1176e+00 4.1226e-01
8.2800e+02 2.2432e+00 1.0678e+00 2.2115e+00
8.2900e+02 1.4160e+00 8.9644e-01 4.6057e+00
8.3000e+02 1.5601e+00 5.2087e-01 1.3365e+00
8.3100e+02 -8.0857e-02 4.5297e-01 2.7508e+00
8.3200e+02 2.4679e-01 1.3274e+00 8.7909e-01
8.3300e+02 1.8585e+00 1.1405e+00 1.9323e+00
8.3400e+02 1.0530e+00 4.1227e-01 3.5749e+00
8.3500e+02 4.0347e-01 5.4028e-01 3.9912e+00
8.3600e+02 3.8806e-01 3.3359e-01 4.1417e+00
8.3700e+02 1.7107e+00 1.3085e+00 5.0838e+00
8.3800e+02 1.0576e+00 1.1769e+00 3.6105e+00
8.3900e+02 8.8567e-01 8.7733e-01 2.4505e+00
8.4000e+02 5.8327e-01 5.5769e-01 4.4972e+00
8.4100e+02 1.0615e+00 6.6129e-01 1.3999e+00
8.4200e+02 -6.7414e-01 1.0582e+00 1.5196e-02
8.4300e+02 1.3916e+00 1.1027e+00 1.8854e+00
8.4400e+02 9.9946e-01 3.7932e-01 3.2049e+00
8.4500e+02 1.2322e-01 6.1366e-01 5.0592e+00
8.4600e+02 1.0534e+00 3.0991e-01 4.2593e-01
8.4700e+02 1.0910e+00 1.0301e+00 6.0420e+00
8.4800e+02 4.3587e-02 2.0034e-01 4.2924e+00
8.4900e+02 1.8048e-01 1.2932e+00 4.1641e+00
8.5000e+02 3.1344e-01 1.3314e+00 1.9620e+00
8.5100e+02 7.3562e-01 4.1423e-01 5.8433e+00
8.5200e+02 1.2169e+00 3.3208e-01 3.2187e+00
8.5300e+02 3.0052e-01 4.2861e-01 3.3158e+00
8.5400e+02 6.0115e-01 4.9223e-01 5.2874e+00
8.5500e+02 -1.5674e-01 1.3509e-01 1.7708e+00
8.5600e+02 1.0432e+00 6.4236e-01 3.8742e+00
8.5700e+02 1.6603e+00 1.0250e+00 2.6559e+00
8.5800e+02 7.1603e-01 9.5393e-01 1.0817e+00
8.5900e+02 1.1318e-01 1.1928e+00 3.1520e+00
8.6000e+02 1.9888e+00 9.5471e-01 3.5471e+00
8.6100e+02 1.3908e+00 4.3520e-01 2.6052e+00
8.6200e+02 1.3672e+00 8.0952e-01 1.3949e+00
8.6300e+02 1.5995e+00 3.9868e-01 1.2490e+00
8.6400e+02 2.4244e+00 4.2355e-01 2.2742e+00
8.6500e+02 -3.0542e-01 6.8531e-01 2.6346e+00
8.6600e+02 6.9149e-01 1.1915e+00 2.5214e+00
8.6700e+02 4.7721e-01 3.8497e-01 4.9091e+00
8.6800e+02 -2.6428e-01 1.1535e+00 4.4870e+00
8.6900e+02 6.3768e-01 1.0681e+00 6.4073e-01
