# index cotheta theta phi
9.9000e+01 1.0341e+00 1.1558e+00 4.4639e+00
1.0000e+02 2.1045e+00 6.2859e-01 9.9172e-01
1.0100e+02 1.0098e-01 4.2861e-01 4.5382e+00
1.0200e+02 3.9104e-01 6.8758e-01 6.2509e+00
1.0300e+02 1.1126e+00 7.1694e-01 3.1106e+00
1.0400e+02 2.9015e-01 8.4464e-01 2.3243e+00
1.0500e+02 2.0473e+00 7.5990e-01 2.1961e+00
1.0600e+02 1.3759e+00 9.4904e-01 6.7756e-01
1.0700e+02 1.5572e+00 8.7592e-01 2.3244e+00
1.0800e+02 2.5755e+00 9.9452e-01 2.4046e+00
1.0900e+02 3.6499e-01 9.9183e-01 2.9856e+00
1.1000e+02 7.9137e-01 2.0055e-01 1.9710e+00
1.1100e+02 7.4015e-01 9.7342e-01 1.2709e-01
1.1200e+02 2.2597e+00 3.3978e-01 1.3448e+00
1.1300e+02 3.7724e-01 5.9953e-01 5.3369e+00
1.1400e+02 8.2820e-01 7.2386e-01 2.9913e+00
1.1500e+02 1.7947e+00 8.3743e-01 2.1530e+00
1.1600e+02 1.5937e+00 9.3271e-01 2.3288e+00
1.1700e+02 -4.5137e-02 7.6644e-01 2.1207e+00
1.1800e+02 9.2804e-01 9.8027e-01 2.1534e+00
1.1900e+02 2.2704e+00 7.6508e-01 1.1415e+00
1.2000e+02 6.8738e-01 5.8711e-01 6.1639e+00
1.2100e+02 1.1842e+00 3.9763e-01 3.7534e+00
1.2200e+02 3.6550e-01 5.6952e-01 4.0456e+00
1.2300e+02 2.8000e+00 7.7682e-01 2.0443e+00
1.2400e+02 5.3075e-01 9.3111e-01 2.1322e+00
1.2500e+02 1.2215e+00 2.0055e-01 5.8829e+00
1.2600e+02 1.9369e+00 6.5813e-01 1.1840e+00
1.2700e+02 6.0469e-01 1.0493e+00 1.1145e+00
1.2800e+02 8.1879e-01 8.9416e-01 1.9876e+00
1.2900e+02 1.1709e+00 3.3038e-01 4.7859e+00
1.3000e+02 1.0101e+00 7.1874e-01 3.0509e+00
1.3100e+02 8.0263e-01 6.5749e-01 3.2449e+00
1.3200e+02 7.8965e-01 1.0741e+00 4.1517e+00
1.3300e+02 8.2840e-01 5.8842e-01 3.0213e+00
1.3500e+02 -5.4791e-01 1.1876e+00 1.1782e-01
1.3600e+02 -1.5854e+00 3.7932e-01 6.3264e-02
1.3700e+02 6.5627e-01 3.6029e-01 8.8523e-01
1.3800e+02 1.1787e+00 5.8834e-01 3.2606e+00
1.3900e+02 -1.4844e-01 1.0754e+00 2.4782e+00
1.4000e+02 9.3619e-01 1.0577e+00 2.4835e+00
1.4100e+02 6.6836e-01 5.1223e-01 7.8596e-01
